"SAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018"
"44000","Rhode Island","10","Personal income (millions of dollars)",57603.7
"44000","Rhode Island","20","Population (persons) 3/",1059338
"44000","Rhode Island","70","  Proprietors' income 9/",3922.0
"45000","South Carolina","","Income by place of residence",""
"45000","South Carolina","10","Personal income (millions of dollars)",223256.9
"45000","South Carolina","20","Population (persons) 3/",5091702
"45000","South Carolina","70","  Proprietors' income 9/",15200.2
"46000","South Dakota","","Income by place of residence",""
"46000","South Dakota","10","Personal income (millions of dollars)",46248.9
"46000","South Dakota","20","Population (persons) 3/",879386
"46000","South Dakota","70","  Proprietors' income 9/",6582.7
"47000","Tennessee","","Income by place of residence",""
"47000","Tennessee","10","Personal income (millions of dollars)",319689.7
"47000","Tennessee","20","Population (persons) 3/",6778180
"47000","Tennessee","70","  Proprietors' income 9/",43891.8
"48000","Texas","","Income by place of residence",""
"48000","Texas","10","Personal income (millions of dollars)",1463962.2
"48000","Texas","20","Population (persons) 3/",28624564
"48000","Texas","70","  Proprietors' income 9/",193488.5
"49000","Utah","","Income by place of residence",""
"49000","Utah","10","Personal income (millions of dollars)",148240.6
"49000","Utah","20","Population (persons) 3/",3155153
"49000","Utah","70","  Proprietors' income 9/",11672.6
"50000","Vermont","","Income by place of residence",""
"50000","Vermont","10","Personal income (millions of dollars)",33422.7
"50000","Vermont","20","Population (persons) 3/",624802
"50000","Vermont","70","  Proprietors' income 9/",2792.9
"51000","Virginia","","Income by place of residence",""
"51000","Virginia","10","Personal income (millions of dollars)",492764.3
"51000","Virginia","20","Population (persons) 3/",8510920
"51000","Virginia","70","  Proprietors' income 9/",27189.7
"53000","Washington","","Income by place of residence",""
"53000","Washington","10","Personal income (millions of dollars)",468055.1
"53000","Washington","20","Population (persons) 3/",7526793
"53000","Washington","70","  Proprietors' income 9/",36463.6
"54000","West Virginia","","Income by place of residence",""
"54000","West Virginia","10","Personal income (millions of dollars)",74321.6
"54000","West Virginia","20","Population (persons) 3/",1805953
"54000","West Virginia","70","  Proprietors' income 9/",4575.7
"55000","Wisconsin","","Income by place of residence",""
"55000","Wisconsin","10","Personal income (millions of dollars)",299827.0
"55000","Wisconsin","20","Population (persons) 3/",5809319
"55000","Wisconsin","70","  Proprietors' income 9/",19443.2
"56000","Wyoming","","Income by place of residence",""
"56000","Wyoming","10","Personal income (millions of dollars)",35054.2
"56000","Wyoming","20","Population (persons) 3/",579054
"56000","Wyoming","70","  Proprietors' income 9/",4109.1
"91000","New England","","Income by place of residence",""
"91000","New England","10","Personal income (millions of dollars)",1001084.2
"91000","New England","20","Population (persons) 3/",14839608
"91000","New England","70","  Proprietors' income 9/",91806.7
"92000","Mideast","","Income by place of residence",""
"92000","Mideast","10","Personal income (millions of dollars)",3147619.1
"92000","Mideast","20","Population (persons) 3/",48958220
"92000","Mideast","70","  Proprietors' income 9/",306856.8
"93000","Great Lakes","","Income by place of residence",""
"93000","Great Lakes","10","Personal income (millions of dollars)",2389921.2
"93000","Great Lakes","20","Population (persons) 3/",46900663
"93000","Great Lakes","70","  Proprietors' income 9/",178410.7
"94000","Plains","","Income by place of residence",""
"94000","Plains","10","Personal income (millions of dollars)",1107629.8
"94000","Plains","20","Population (persons) 3/",21362356
"94000","Plains","70","  Proprietors' income 9/",96241.9
"95000","Southeast","","Income by place of residence",""
"95000","Southeast","10","Personal income (millions of dollars)",4022275.8
"95000","Southeast","20","Population (persons) 3/",84367819
"95000","Southeast","70","  Proprietors' income 9/",294570.1
"96000","Southwest","","Income by place of residence",""
"96000","Southwest","10","Personal income (millions of dollars)",2051026.8
"96000","Southwest","20","Population (persons) 3/",41826034
"96000","Southwest","70","  Proprietors' income 9/",243794.6
"97000","Rocky Mountain","","Income by place of residence",""
"97000","Rocky Mountain","10","Personal income (millions of dollars)",647600.7
"97000","Rocky Mountain","20","Population (persons) 3/",12245254
"97000","Rocky Mountain","70","  Proprietors' income 9/",62976.1
"98000","Far West","","Income by place of residence",""
"98000","Far West","10","Personal income (millions of dollars)",3472097.3
"98000","Far West","20","Population (persons) 3/",56338245
"98000","Far West","70","  Proprietors' income 9/",315378.0
"Legend / Footnotes:"
"3/ Census Bureau midyear population estimate. Estimates for 2010-2020 reflect Census Bureau midyear state population estimates available as of December 2020."
"9/ Proprietors' income includes the inventory valuation adjustment and the capital consumption adjustment."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: March 24, 2021-- new statistics for 2020; revised statistics 2010-2019."
